ERR unknown command (type 'help')
OK mode=LOG
ERR unknown command (type 'help')
M,1273618,W,41,START
OK start
S,1293509,-123,-42,190
S,1293519,-55,-40,217
S,1293529,-22,-30,204
S,1293539,-51,-43,154
S,1293549,-62,-43,163
S,1293559,-43,-26,170
S,1293569,-36,-40,192
S,1293579,-43,-61,189
S,1293589,-47,-77,170
S,1293599,-53,-83,144
S,1293609,-39,-81,141
S,1293619,19,-63,179
S,1293629,26,-49,170
S,1293639,4,-34,163
S,1293649,-2,-26,161
S,1293659,-8,-13,170
S,1293669,-16,-21,176
S,1293679,-27,-23,176
S,1293689,-27,-23,175
S,1293699,-24,-18,178
S,1293709,-31,-18,175
S,1293719,-26,-17,182
S,1293729,-32,-12,179
S,1293739,-49,-14,178
S,1293749,-55,-19,183
S,1293759,-61,-18,203
S,1293769,-70,-19,214
S,1293779,-81,-17,220
S,1293789,-92,-21,219
S,1293799,-93,-21,208
S,1293809,-84,-19,205
S,1293819,-84,-27,211
S,1293829,-81,-31,224
S,1293839,-74,-24,232
S,1293849,-73,-18,242
S,1293859,-76,-18,246
S,1293869,-87,-14,244
S,1293879,-92,-14,241
S,1293889,-99,-15,238
S,1293899,-99,-10,239
S,1293909,-97,-7,240
S,1293919,-98,-11,242
S,1293929,-96,-10,244
S,1293939,-94,-9,245
S,1293949,-90,-7,242
S,1293959,-89,-6,245
S,1293969,-91,-15,249
S,1293979,-95,-16,251
M,1293979,W,44,END
OK end
M,1296878,W,45,START
OK start
S,1296879,-100,27,231
S,1296889,-102,28,227
S,1296899,-102,18,227
S,1296909,-105,9,231
S,1296919,-105,5,230
S,1296929,-100,2,239
S,1296939,-96,0,239
S,1296949,-93,8,232
S,1296959,-84,10,229
S,1296969,-72,19,224
S,1296979,-67,28,222
S,1296989,-65,33,217
S,1296999,-63,48,208
S,1297009,-56,55,197
S,1297019,-52,60,198
S,1297029,-41,53,174
S,1297039,-31,50,177
S,1297049,-14,36,186
S,1297059,-7,-9,202
S,1297069,-12,-30,196
S,1297079,-8,-27,196
S,1297089,6,17,180
S,1297099,18,46,175
S,1297109,30,74,156
S,1297119,35,70,175
S,1297129,31,74,159
S,1297139,18,62,146
S,1297149,10,39,151
S,1297159,19,19,154
S,1297169,25,-8,173
S,1297179,16,-33,201
S,1297189,30,-10,179
S,1297199,42,-28,180
S,1297209,22,-6,180
S,1297219,-16,-39,201
S,1297229,-49,-73,231
S,1297239,-78,-91,254
S,1297249,-99,-97,258
S,1297259,-95,-117,273
S,1297269,-72,-95,285
S,1297279,-37,-37,295
S,1297289,-32,4,303
S,1297299,-55,27,332
S,1297309,-91,30,338
S,1297319,-137,3,359
S,1297329,-140,-25,406
S,1297339,-128,-45,453
S,1297349,-119,-33,496
S,1297359,-106,16,486
S,1297369,-93,70,492
S,1297379,-99,98,506
S,1297389,-123,80,535
S,1297399,-141,54,547
S,1297409,-151,42,563
S,1297419,-150,29,558
S,1297429,-145,25,564
S,1297439,-115,19,563
S,1297449,-87,20,548
S,1297459,-71,25,512
S,1297469,-73,18,476
S,1297479,-74,10,445
S,1297489,-67,17,440
S,1297499,-50,32,430
S,1297509,-51,31,426
S,1297519,-57,46,398
S,1297529,-64,60,364
S,1297539,-74,44,326
S,1297549,-93,21,286
S,1297559,-112,1,266
S,1297569,-106,-6,237
S,1297579,-65,9,243
S,1297589,-31,14,236
S,1297599,-38,-11,218
S,1297609,-45,-28,200
S,1297619,-36,-30,187
S,1297629,-27,-18,163
S,1297639,-27,-22,152
S,1297649,-11,-2,150
S,1297659,11,8,172
S,1297669,21,53,149
S,1297679,13,43,135
S,1297689,7,40,115
S,1297699,0,47,101
S,1297709,-3,36,97
S,1297719,-8,22,93
S,1297729,-7,7,98
S,1297739,-4,3,97
S,1297749,-2,0,93
S,1297759,5,-5,99
S,1297769,13,19,103
S,1297779,16,34,108
S,1297789,7,45,110
S,1297799,-7,50,109
S,1297809,-18,42,116
S,1297819,-21,39,125
S,1297829,-22,31,136
S,1297839,-19,29,148
S,1297849,-3,21,161
S,1297859,12,28,163
S,1297869,21,25,173
S,1297879,22,18,181
S,1297889,20,24,183
S,1297899,2,11,187
S,1297909,-17,-20,210
S,1297919,-43,-26,227
S,1297929,-50,-28,245
S,1297939,-38,-12,258
S,1297949,-27,1,267
S,1297959,-23,-1,273
S,1297969,-14,27,264
