0] builtin=0 custom=0
op[1] builtin=0 custom=0
op[2] builtin=0 custom=0
op[3] builtin=0 custom=0
op[4] builtin=0 custom=0
op[5] builtin=0 custom=0
op[6] builtin=0 custom=0
Input type: 1
Input bytes: 1536
ADXL345 Initialized
window_samples = 128
ESP-ROM:esp32c6-20220919
0] builtin=0 custom=0
op[1] builtin=0 custom=0
op[2] builtin=0 custom=0
op[3] builtin=0 custom=0
op[4] builtin=0 custom=0
op[5] builtin=0 custom=0
op[6] builtin=0 custom=0
Input type: 1
Input bytes: 1536
ADXL345 Initialized
window_samples = 128
ERR unknown command (type 'help')
OK mode=LOG
M,14438,W,1,START
OK start
S,126339,55,69,220
S,126349,44,45,222
S,126359,21,-5,254
S,126369,-29,-56,293
S,126379,-17,-62,311
S,126389,-17,-69,330
S,126399,-33,-84,342
S,126409,-33,-68,356
S,126419,-34,-35,362
S,126429,-49,-25,372
S,126439,-62,-4,377
S,126449,-67,2,382
S,126459,-71,0,387
S,126469,-77,-7,395
S,126479,-59,-8,422
S,126489,-58,-7,438
S,126499,-62,-25,467
S,126509,-57,1,462
S,126519,-41,57,467
S,126529,-47,101,449
S,126539,-77,109,442
S,126549,-101,94,444
S,126559,-121,81,442
S,126569,-135,74,440
S,126579,-130,69,427
S,126589,-74,76,436
S,126599,-33,65,448
S,126609,-37,56,444
S,126619,-65,57,423
S,126633,-87,63,391
S,126639,-98,44,371
S,126649,-116,9,357
S,126659,-134,-17,337
S,126669,-102,-34,341
S,126679,-7,-1,348
S,126689,54,-3,365
S,126699,48,-72,366
S,126709,32,-94,348
S,126719,7,-68,295
S,126729,-36,-80,262
S,126739,-65,-94,252
S,126749,-94,-97,240
S,126759,-96,-90,218
S,126769,-34,-81,229
S,126779,54,-66,234
S,126789,40,-42,215
S,126799,2,-69,192
S,126809,21,-88,197
S,126819,45,-100,205
S,126829,27,-112,190
S,126839,10,-127,175
S,126849,18,-122,176
S,126859,40,-107,188
S,126869,53,-98,198
S,126879,44,-86,200
S,126889,33,-71,196
S,126899,30,-57,191
S,126909,25,-47,188
S,126919,17,-48,190
S,126929,9,-52,196
S,126939,0,-59,203
S,126949,-7,-61,207
M,126949,W,3,END
OK end
M,138068,W,4,START
OK start
S,138069,-29,29,297
S,138079,-30,34,291
S,138089,-32,38,291
S,138099,-30,32,295
S,138109,-22,27,300
S,138119,-12,28,304
S,138129,-5,35,310
S,138139,-3,43,312
S,138149,-5,49,301
S,138159,-15,59,289
S,138169,-28,56,286
S,138179,-34,36,293
S,138189,-25,24,303
S,138199,-17,13,303
S,138209,-17,8,300
S,138219,-16,15,297
S,138229,-17,20,291
S,138239,-14,34,286
S,138249,-13,39,285
S,138259,-9,32,280
S,138269,-9,26,279
S,138279,-4,13,279
S,138289,-2,8,284
S,138299,-3,19,272
S,138309,-7,29,264
S,138319,-13,40,251
S,138329,-18,37,247
S,138339,-23,31,238
S,138349,-29,28,228
S,138359,-29,23,222
S,138369,-22,28,212
S,138379,-20,29,203
S,138389,-12,30,202
S,138399,-7,36,192
S,138409,-11,33,189
S,138419,-17,22,184
S,138429,-14,27,171
S,138439,-1,43,153
S,138449,-2,43,142
S,138459,-4,31,135
S,138469,-1,28,126
S,138479,6,19,130
S,138489,11,4,136
S,138499,20,-3,154
S,138509,44,0,180
S,138519,63,31,174
S,138529,55,63,161
S,138539,28,74,143
S,138549,25,80,150
S,138559,33,85,168
S,138569,47,78,179
S,138579,63,62,198
S,138589,101,64,199
S,138599,112,21,261
S,138609,121,20,267
S,138619,102,7,261
S,138629,55,-23,257
S,138639,14,-22,244
S,138649,20,-31,240
S,138659,-14,-44,259
S,138669,-49,-75,281
S,138679,-52,-47,313
S,138693,-113,-26,378
S,138699,-113,-26,378
S,138709,-146,0,401
S,138719,-151,51,432
S,138729,-144,79,479
S,138739,-133,99,537
S,138749,-110,108,608
S,138759,-78,114,656
S,138769,-69,127,670
S,138779,-86,133,662
S,138789,-110,126,641
S,138799,-99,110,615
S,138809,-90,91,573
S,138819,-56,91,542
S,138829,-24,87,511
S,138839,-1,95,470
S,138849,-3,78,437
S,138859,-28,68,401
S,138869,-49,55,359
S,138879,-58,27,327
S,138889,-62,1,298
S,138899,-74,-27,271
S,138909,-86,-51,237
S,138919,-47,-53,213
S,138929,69,-20,213
S,138939,78,-9,182
S,138949,8,-69,158
S,138959,-2,-93,142
S,138969,13,-71,129
S,138979,10,-92,131
S,138989,6,-101,120
S,138999,14,-81,97
S,139009,27,-63,87
S,139019,46,-38,84
S,139029,63,-44,83
S,139039,83,-59,103
S,139049,88,-59,95
S,139059,59,-51,63
S,139069,34,-41,50
S,139079,34,-22,39
S,139089,48,-13,53
S,139099,68,-7,67
S,139109,79,-13,83
S,139119,89,-3,93
S,139129,107,16,99
S,139139,106,21,98
S,139149,82,14,106
S,139159,53,19,114
S,139169,15,0,130
S,139179,-2,3,135
S,139189,6,13,159
S,139199,43,43,192
S,139209,74,91,191
S,139219,49,60,243
S,139229,15,-19,269
S,139239,-47,-72,296
S,139249,-67,-83,298
S,139259,-46,-93,308
S,139269,-61,-110,331
S,139279,-72,-117,360
S,139289,-71,-62,407
S,139299,-62,6,446
S,139309,-57,81,477
S,139319,-63,152,488
S,139329,-87,196,478
S,139339,-114,202,511
S,139349,-128,177,530
S,139359,-124,150,547
S,139369,-81,118,578
S,139379,-45,75,608
S,139389,-40,-1,610
S,139399,-31,5,576
S,139409,-36,14,538
S,139419,-53,11,499
S,139429,-68,8,474
S,139439,-89,7,457
S,139449,-110,7,424
S,139459,-107,6,398
S,139469,-69,-33,415
S,139479,-18,-40,419
S,139489,24,3,383
S,139499,-7,6,325
S,139509,-52,-23,279
S,139519,-49,-34,242
S,139529,-59,-44,205
S,139539,-91,-56,189
S,139549,-110,-71,182
S,139559,-75,-112,210
S,139569,44,-124,245
S,139579,127,-93,243
S,139589,77,-70,178
S,139599,5,-87,127
S,139609,-5,-70,122
S,139619,-12,-74,136
S,139629,-30,-92,163
S,139639,-38,-81,164
S,139649,0,-66,164
S,139659,69,-41,175
S,139669,61,-69,168
S,139679,31,-93,166
S,139689,25,-70,158
S,139699,18,-71,172
S,139709,12,-88,201
S,139719,12,-86,221
S,139729,2,-78,225
S,139739,5,-59,228
S,139749,29,-17,230
S,139759,14,-11,226
S,139769,-10,-35,231
S,139779,-26,-38,220
S,139789,-48,-32,234
S,139799,-62,-33,228
S,139809,-66,-30,238
S,139819,-67,-19,239
S,139829,-65,-12,252
S,139839,-62,-1,252
S,139849,-57,1,254
S,139859,-57,-11,260
S,139869,-52,-23,268
M,139869,W,4,END
OK end
M,149028,W,5,START
OK start
S,149029,-45,37,270
S,149039,-41,35,276
S,149049,-48,34,274
S,149059,-51,32,274
S,149069,-52,29,270
S,149079,-54,30,275
S,149089,-54,32,274
S,149099,-52,32,282
S,149109,-38,41,282
S,149119,-36,43,282
S,149129,-36,53,271
S,149139,-32,48,275
S,149149,-27,39,280
S,149159,-17,32,283
S,149169,-16,23,279
S,149179,-14,19,277
S,149189,-13,20,264
S,149199,-9,14,255
S,149209,-1,21,245
S,149219,4,25,228
S,149229,8,19,210
S,149239,1,10,201
S,149249,-1,6,186
S,149259,-2,20,163
S,149269,0,32,151
S,149279,3,34,139
S,149289,11,34,131
S,149299,26,32,135
S,149309,53,21,145
S,149319,49,18,135
S,149329,75,49,70
S,149339,91,-40,163
S,149349,87,-17,143
S,149359,89,-12,151
S,149369,39,-26,162
S,149379,16,-53,204
S,149389,23,-6,241
S,149399,54,9,244
S,149409,46,18,263
S,149419,14,25,256
S,149429,1,20,250
S,149439,-2,19,251
S,149449,47,-32,282
S,149459,-101,-99,302
S,149469,-52,-96,305
S,149479,-38,-55,370
S,149489,-95,-39,395
S,149499,-169,29,394
S,149509,-204,109,399
S,149519,-209,149,425
S,149529,-200,126,481
S,149539,-187,81,546
S,149549,-159,19,614
S,149559,-146,-20,650
S,149569,-140,-34,652
S,149579,-131,-18,627
S,149589,-100,3,610
S,149599,-61,38,590
S,149609,-48,80,561
S,149619,-56,84,508
S,149629,-27,102,459
S,149639,-3,68,449
S,149649,-4,3,433
S,149659,5,-10,417
S,149669,8,18,382
S,149679,-10,63,326
S,149689,-56,73,277
S,149699,-92,59,237
S,149709,-125,26,203
S,149719,-156,-21,181
S,149729,-153,-67,165
S,149739,-25,-76,178
S,149749,129,-50,210
S,149759,120,-57,193
S,149769,43,-83,151
S,149779,28,-76,139
S,149789,20,-61,125
S,149799,17,-78,134
S,149809,33,-90,142
S,149819,32,-112,153
S,149829,12,-121,145
S,149839,28,-120,144
S,149849,64,-69,138
S,149859,15,-37,114
S,149869,-22,-21,100
S,149879,-32,-17,102
S,149889,-25,-21,111
S,149899,-3,-25,128
S,149909,7,-30,144
S,149919,9,-22,145
S,149929,2,-28,155
S,149939,-1,-33,162
S,149949,-9,-39,160
S,149959,-16,-42,158
S,149969,-16,-39,153
S,149979,1,-27,150
S,149989,41,-7,158
S,149999,81,24,164
S,150009,85,38,161
S,150019,64,14,173
S,150029,43,-4,181
S,150039,40,-3,181
S,150049,32,-15,185
S,150059,45,6,192
S,150069,75,35,208
S,150079,112,53,236
S,150089,117,34,251
S,150099,80,-7,286
S,150109,-7,-49,287
S,150119,-50,-46,273
S,150129,-53,0,264
S,150139,-58,7,266
S,150149,-76,-2,270
S,150159,-77,0,299
S,150169,-71,-9,346
S,150179,-51,-38,405
S,150189,-18,-68,458
S,150199,-5,-47,478
S,150209,-31,14,456
S,150219,-67,65,427
S,150229,-90,102,416
S,150239,-114,102,425
S,150249,-127,74,462
S,150259,-128,53,496
S,150269,-124,25,523
S,150279,-80,10,555
S,150289,-44,-16,576
S,150299,-56,-43,566
S,150309,-84,-39,524
S,150319,-91,-43,498
S,150329,-99,-37,473
